@relation InitialSetByLHS

@attribute write_request_timeout_in_ms numeric
@attribute read_request_timeout_in_ms numeric
@attribute commitlog_total_space_in_mb numeric
@attribute key_cache_size_in_mb numeric
@attribute commitlog_segment_size_in_mb numeric
@attribute dynamic_snitch_badness_threshold numeric
@attribute index_summary_capacity_in_mb numeric
@attribute key_cache_save_period numeric
@attribute file_cache_size_in_mb numeric
@attribute thrift_framed_transport_size_in_mb numeric
@attribute memtable_heap_space_in_mb numeric
@attribute concurrent_writes numeric
@attribute index_summary_resize_interval_in_minutes numeric
@attribute commitlog_sync_period_in_ms numeric
@attribute range_request_timeout_in_ms numeric
@attribute rpc_min_threads numeric
@attribute batch_size_warn_threshold_in_kb numeric
@attribute concurrent_reads numeric
@attribute column_index_size_in_kb numeric
@attribute dynamic_snitch_update_interval_in_ms numeric
@attribute memtable_flush_writers numeric
@attribute request_timeout_in_ms numeric
@attribute cas_contention_timeout_in_ms numeric
@attribute permissions_validity_in_ms numeric
@attribute rpc_max_threads numeric
@attribute truncate_request_timeout_in_ms numeric
@attribute stream_throughput_outbound_megabits_per_sec numeric
@attribute memtable_offheap_space_in_mb numeric
@attribute performance numeric

@data
170023,212015,10251,15124,1496,0.788835,15784,6007,11814,2.772887,8275,2533,2.597972,198960,172110,946,5924499,1291,13486,147809,1.809561,159735,250769,116766,2632,171667,1860,16212,1660.96
170452,50239,5620,6325,1128,0.752276,10652,8385,5123,10.760668,3179,2397,3.639703,67879,176618,967,1957421,2138,52880,236003,14.922649,56926,167179,49933,1292,39949,7560,10760,1549.58
173589,210213,13978,6622,1196,0.71689,3531,13046,5430,23.784272,8791,3569,1.552069,71191,69095,546,7473599,3401,54657,24178,17.076227,231860,226930,196716,2311,4618,8836,3838,2254.3
176203,248245,2070,6770,110,0.135564,1009,9775,12110,16.207524,11157,414,1.665759,115899,236103,700,8330658,3473,6327,251797,17.460689,152081,65025,105646,1111,1119,7811,5047,1896.47
179773,17599,96,5186,935,0.441264,8198,1064,4108,21.150929,2795,1301,3.425243,127956,138478,391,2080137,3645,44080,99130,5.513192,49144,255864,129351,1957,82981,5606,14493,2121.74
181121,35926,11939,8511,1891,0.436001,14861,10580,7993,8.364627,10544,2021,2.400522,65736,262329,98,14996696,3820,37069,5372,5.905379,31805,172862,7003,3270,213687,3399,4012,1786.05
185398,149517,9093,10187,1368,0.556713,457,5259,5853,8.751366,679,1346,1.274099,27545,17545,375,6666220,3620,35333,216610,23.559675,126662,136870,254338,1845,77961,2344,1632,1706.45
186393,47019,1583,2465,806,0.051618,3025,13243,16023,7.910822,15964,2259,4.1994,101463,209450,512,12053571,1942,18535,106163,18.554189,227075,44248,136952,2760,50658,6138,12937,2004.34
190036,1721,4035,5549,1916,0.625823,72,14100,15317,20.850073,14940,640,2.915239,158939,54428,633,1594611,409,64823,67647,25.537976,200575,266831,259547,3122,265121,4121,9353,1727.61
193201,198473,13776,11059,1349,0.226246,12117,10915,10226,24.500783,330,1904,1.862919,88993,240435,155,12585208,1419,28227,240879,25.848646,166710,142695,20156,3717,88858,8296,13101,2203.51
195039,168565,8729,1063,1086,0.533039,10935,12286,12411,22.771519,13296,1016,3.568473,97866,36544,674,4353614,2758,9986,40895,7.242953,210270,193481,46360,2210,101072,7070,14236,1596.99
199389,108728,15434,15945,1663,0.327791,6554,6082,15409,28.463741,13139,2629,1.602018,82355,28832,260,11871003,372,57587,115418,29.068057,187897,17351,76332,3205,152408,7253,7174,1931.76
201492,139834,763,10777,1718,0.397852,1596,309,9000,6.962263,2194,3805,1.109618,106927,41891,733,15748123,2782,30082,244149,1.436678,95759,244087,226530,2966,123332,5372,14786,1994.46
202782,72810,4386,1375,270,0.521047,13518,10384,14577,29.365452,2778,3680,1.31003,77606,104476,861,5431871,1658,6913,238237,13.173335,154150,64769,87454,2802,79899,1621,102,1784.88
207205,244348,12558,6076,540,0.496008,14045,7361,15103,9.747076,7144,2739,3.539597,173521,186318,723,16526404,2859,35904,30179,16.301214,25977,88691,113714,1435,241840,1349,4273,1893.54
210273,240205,10379,10871,2043,0.310148,11787,9852,4927,16.060569,14433,3552,2.093077,130186,154938,1017,5710745,941,34684,130892,24.91009,218426,84247,173543,2597,108636,6470,9642,1682.07
211636,158227,2325,2733,1215,0.930118,11201,10069,3230,1.077471,1286,332,1.886553,46663,220146,75,6522586,210,9277,117868,18.874944,144393,155918,161709,1122,21928,580,5887,1592.32
214645,80942,5325,536,18,0.878296,6841,13363,6027,26.815056,1808,1366,3.860593,83810,211187,134,15514600,2091,32597,157044,6.832671,79007,235879,44686,2521,40650,8092,10014,1428.62
216706,85234,9422,12573,1256,0.013517,4847,3222,14013,12.603533,12702,1278,3.127712,62445,244103,805,13508957,3031,27942,206886,2.880371,206938,112838,144801,1694,30676,1355,2049,1489.88
220593,269218,11450,1292,694,0.234851,4537,6224,14955,11.470791,15738,2144,2.307693,38828,70707,932,12184935,625,46433,161423,32.743337,1929,242636,122128,2947,44089,2766,13633,1591.07
222952,41507,5015,12878,360,0.563758,14101,7639,306,12.522464,6165,2439,4.527694,172618,24413,454,6879399,3169,1683,120926,18.403832,100801,77131,82197,1239,230427,5084,11918,1875.28
226562,58766,7601,11550,213,0.65244,16340,2025,618,4.937016,6047,664,2.991112,153415,20501,185,15967154,1777,53955,71879,18.003241,226220,38587,213753,3643,247247,8582,2307,1673.85
229233,229564,8167,14075,1036,0.504598,4662,8985,12875,23.469724,7648,1083,1.480004,126380,249233,612,11366259,809,22296,232953,22.160043,27462,127110,41687,3392,146520,5005,893,1807.24
231718,215903,5837,3581,311,0.029164,11501,6414,9470,17.185773,6519,3272,4.810431,13167,207173,715,176269,3207,51283,88056,10.7244,15579,160208,199439,3678,200875,2859,16324,1669.29
234081,60132,905,3378,22,0.807845,7645,1968,987,14.961175,4937,242,4.22842,194889,256549,691,654469,1580,49105,101785,24.586915,111359,153089,109965,3550,66759,3688,14039,1675.76
235419,63350,1042,5020,341,0.163551,9686,14157,1651,25.200982,9690,2058,2.3763,89615,14167,216,8469009,249,2198,259799,12.724333,212779,94669,57244,3073,249002,8435,11478,1900.85
240157,266031,3715,10501,1176,0.478933,10296,3774,13403,21.847124,11009,1203,4.294991,246454,121164,111,12811965,2304,23636,81983,30.988566,241195,9899,205811,2991,52253,4761,6929,1879.83
240444,22391,6043,14784,1492,0.342347,11311,783,10943,16.823303,8162,97,4.157394,159686,162286,314,6049189,2939,48392,214848,29.527555,164120,176064,169177,2713,58648,7183,2909,1657.37
245061,249136,16000,3883,1520,0.742595,12927,13821,13091,7.381668,10045,2356,1.051368,192058,230922,450,9602689,907,570,18220,5.966954,136158,230697,152807,1909,95476,73,14962,1720.94
247612,51910,11175,15570,886,0.303782,3892,12121,2036,14.75543,9255,1195,1.827803,213066,111862,39,15252970,871,26223,25589,4.330592,239843,23038,13744,2829,235307,2972,4793,1894.48
251011,217066,15266,16151,437,0.197498,10428,1639,1994,9.223236,617,1402,4.68019,228830,125696,585,8758879,2559,4139,151963,7.635076,107875,7020,234536,3814,164035,3489,5133,1796.77
251690,262150,7801,7785,251,0.591421,16177,2218,12689,24.144979,6620,3664,3.326586,178851,169214,144,5550003,128,42285,13868,13.629705,157673,55132,256984,2552,221244,5991,8790,1975.45
256370,122396,448,7316,1463,0.951204,6222,6856,852,26.504716,4616,3388,2.543239,184554,52688,888,4819700,3925,53305,62086,29.997142,38552,81070,93391,1220,84247,6076,4530,1497.03
257266,205043,6082,13702,1959,0.776207,3307,13595,11672,21.524595,13570,3088,1.431204,136086,175120,123,11148007,1833,33020,255497,11.973006,127469,205846,10932,1638,251620,8169,6449,1794.8
260209,256290,15032,12766,1827,0.079339,6321,2924,2794,12.144094,4230,763,3.943075,110094,136035,743,14758820,2670,8864,263692,25.203668,55272,190643,147400,3301,161654,8230,9206,1643.71
263748,193531,10593,12196,159,0.996832,14569,5399,11336,5.231452,7016,1066,2.056554,229934,218413,403,6718636,1512,21041,249698,16.521137,177082,67990,239562,2510,129438,6303,6775,1930.51
265826,25089,2929,9763,68,0.855315,11831,8223,8471,2.588967,3612,3871,2.954895,9372,140441,473,3167194,2597,21674,44423,7.561918,130624,61340,61127,3324,255657,3536,14641,1918.86
269215,159476,15584,11943,1807,0.58104,10604,11312,14294,4.540769,12810,498,1.461313,163919,81342,594,8644050,3778,40968,91544,2.543201,48272,158060,200919,1325,168390,763,10170,1669.42
